file,class,method,variable,usage
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getField/1[int],select,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getRow/0,_cursor,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getObject/1[java.lang.String],dblist,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getObject/1[java.lang.String],_sum,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getObject/1[java.lang.String],isGroupBy,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getObject/1[java.lang.String],_row,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getObject/1[java.lang.String],isSum,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getObject/1[java.lang.String],_cur,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"MongoResultSet/2[io.mycat.datasource.jdbc.mongodb.MongoData,java.lang.String]",_sum,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"MongoResultSet/2[io.mycat.datasource.jdbc.mongodb.MongoData,java.lang.String]",dblist,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"MongoResultSet/2[io.mycat.datasource.jdbc.mongodb.MongoData,java.lang.String]",_schema,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"MongoResultSet/2[io.mycat.datasource.jdbc.mongodb.MongoData,java.lang.String]",isGroupBy,2
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"MongoResultSet/2[io.mycat.datasource.jdbc.mongodb.MongoData,java.lang.String]",_cursor,5
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"MongoResultSet/2[io.mycat.datasource.jdbc.mongodb.MongoData,java.lang.String]",_table,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"MongoResultSet/2[io.mycat.datasource.jdbc.mongodb.MongoData,java.lang.String]",select,2
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"MongoResultSet/2[io.mycat.datasource.jdbc.mongodb.MongoData,java.lang.String]",_row,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"MongoResultSet/2[io.mycat.datasource.jdbc.mongodb.MongoData,java.lang.String]",isSum,2
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"MongoResultSet/2[io.mycat.datasource.jdbc.mongodb.MongoData,java.lang.String]",_cur,3
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getCursorName/0,_cursor,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,SetFields/1[java.util.Set<java.lang.String>],select,3
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\vertx\VertxMySQLPacketResolver.java,io.mycat.vertx.VertxMySQLPacketResolver,handle/1[io.mycat.vertx.Buffer],head,9
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\vertx\VertxMySQLPacketResolver.java,io.mycat.vertx.VertxMySQLPacketResolver,handle/1[io.mycat.vertx.Buffer],packetId,2
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\vertx\VertxMySQLPacketResolver.java,io.mycat.vertx.VertxMySQLPacketResolver,handle/1[io.mycat.vertx.Buffer],reveicePacketLength,5
